Symbol,Period Ending,Next Period Start Opening Price (Period Ending + 1 Day),Next Period End Closing Price (Period Ending + 1 year),Price Percentage Change,Net Income,Depreciation,Net Income Adjustments,Accounts Receivable,Changes in Inventories,Other Operating Activities,Liabilities,Net Cash Flow-Operating,Capital Expenditures,Investments,Other Investing Activities,Net Cash Flows-Investing,Sale and Purchase of Stock,Net Borrowings,Other Financing Activities,Net Cash Flows-Financing,Effect of Exchange Rate,Net Cash Flow
CVV,12/31/2019,3.2527,3.63,11.599594183293878,-6328,1043,1798,1416,1520,152,970,571,-2688,0,0,-2688,0,-658,0,-658,0,-2775
CVV,12/31/2018,3.56,3.22,-9.550561797752804,-5201,1141,444,-1459,-2007,1104,6487,510,-2538,0,0,-2538,0,-744,0,-744,0,-2772
CVV,12/31/2017,11.7,3.55,-69.65811965811966,5261,867,2373,-3435,-1453,-261,-5732,-2379,-14890,0,-430,-15321,146,10088,0,10234,0,-7466
CVV,12/31/2016,8.68,11.34,30.64516129032258,-149,814,324,3684,4539,-290,-68,8853,-112,0,-298,-411,462,-300,0,162,0,8604
JT,12/31/2018,32.48,11.92,-63.30049261083743,-23976,3684,18984,27120,-38071,0,949,-10607,-6093,-4315,-36701,-47109,-10137,18935,0,8797,9039,-39881
JT,12/31/2017,54.16,33.36,-38.404726735598224,-31039,886,16549,43203,-15883,0,-18031,-4315,-2891,0,0,-2891,247528,0,0,247528,-3251,237072
JT,12/31/2016,66,52,-21.21212121212121,-26207,667,712,-102,-5338,0,-4142,-34410,-626,0,0,-626,35036,0,0,35036,0,0
JT,12/31/2015,66,67.2,1.8181818181818226,-30210,562,2136,8188,-5076,0,-63,-24463,-748,0,0,-748,25212,0,0,25212,0,0
CLPT,12/31/2019,4.78,15.89,232.4267782426778,-5540,980,799,1921,144,-1025,-129,-2850,-10,0,-150,-160,7742,-2137,0,5604,0,2595
CLPT,12/31/2018,1.64,4.8,192.6829268292683,-6163,672,1245,-190,-284,122,-32,-4631,-63,0,0,-63,505,-2000,0,-1495,0,-6189
CLPT,12/31/2017,2.89,1.57,-45.674740484429066,-7167,543,1723,-479,-83,-470,-59,-5993,-27,0,0,-27,11993,0,0,11993,0,5974
CLPT,12/31/2016,3.4,2.64,-22.35294117647058,-8070,580,997,286,352,72,-38,-5820,-101,0,0,-101,3828,0,0,3828,0,-2093
BHTG,12/31/2019,1.85,1.12,-39.45945945945946,-7623,2252,1023,0,0,0,-129,-7135,-5111,2250,-18,-2879,6208,201,0,6347,78,-3589
BHTG,12/31/2018,1.65,1.7,3.030303030303033,-14670,1966,7934,0,0,0,-1197,-6044,-330,0,6412,6082,4370,4027,0,8151,36,8225
BHTG,12/31/2017,4.08,1.62,-60.29411764705882,-8351,849,1611,0,0,0,1117,-4773,-9,0,-2062,-2071,2270,5157,0,7405,14,575
